
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Breach | <br>—n. <br>1 (often foll. By of) breaking or non-observation of a law, contract, etc. <br>2 breaking of relations; quarrel. <br>3 opening, gap. <br>—v. <br>1 break through; make a gap in. <br>2 break (a law, contract, etc.).  step into the breach help in a crisis, esp. As a replacement. [germanic: related to *break]
Breakdown | n. <br>1 a mechanical failure. B loss of (esp. Mental) health. <br>2 collapse (breakdown of communication). <br>3 analysis (of statistics etc.).
Breakthrough | n. <br>1 major advance or discovery. <br>2 act of breaking through an obstacle etc.
Breed | <br>—v. (past and past part. Bred) <br>1 (of animals) produce young. <br>2 propagate; raise (animals). <br>3 yield; result in. <br>4 arise; spread. <br>5 bring up; train. <br>6 create (fissile material) by nuclear reaction. <br>—n. <br>1 stock of similar animals or plants within a species, usu. Developed by deliberate selection. <br>2 race; lineage. <br>3 sort, kind.  breeder n. [old english]
Brick | <br>—n. <br>1 a small usu. Rectangular block of fired or sun-dried clay used in building. B material of this. <br>2 child's toy block. <br>3 brick-shaped thing. <br>4 slang generous or loyal person. <br>—v. (foll. By in, up) close or block with brickwork. <br>—adj. <br>1 built of brick (brick wall). <br>2 (also brick-red) dull red. [low german or dutch]
Usage | in sense 2, brokers have officially been called broker-dealers in the uk since oct. 1986, and entitled to act as agents and principals in share dealings.
Brutal | adj. <br>1 savagely cruel. <br>2 harsh, merciless.  brutality n. (pl. -ies). Brutally adv. [french: related to *brute]
Buddy | <br>—n. (pl. -ies) esp. Us colloq. Friend or mate. [perhaps from *brother]
Bug | <br>—n. <br>1 a any of various insects with mouthparts modified for piercing and sucking. B esp. Us small insect. <br>2 slang virus; infection. <br>3 slang concealed microphone. <br>4 slang error in a computer program or system etc. <br>5 slang obsession, enthusiasm, etc. <br>—v. (-gg-) <br>1 slang conceal a microphone in. <br>2 slang annoy. [origin unknown]
Bulk | <br>—n. <br>1 a size; magnitude (esp. Large). B large mass, body, etc. C large quantity. <br>2 (treated as pl. & usu. Prec. By the) greater part or number (the bulk of the applicants are women). <br>3 roughage. <br>—v. <br>1 seem (in size or importance) (bulks large). <br>2 make (a book etc.) Thicker etc.  in bulk in large quantities. [old norse]
Burden | <br>—n. <br>1 load, esp. A heavy one. <br>2 oppressive duty, expense, emotion, etc. <br>3 bearing of loads (beast of burden). <br>4 a refrain of a song. B chief theme of a speech, book, etc. <br>—v. Load with a burden; oppress.  burdensome adj. [old english: related to *birth]
Bureaucracy | n. (pl. -ies) <br>1 a government by central administration. B state etc. So governed. <br>2 government officials, esp. Regarded as oppressive and inflexible. <br>3 conduct typical of these.
Usage | before <br>1968 in english law, burglary was a crime under statute and common law; since <br>1968 it has been a statutory crime only; cf. *housebreaking.
Burial | n. <br>1 a burying of a corpse. B funeral. <br>2 archaeol. Grave or its remains.
Burst | <br>—v. (past and past part. Burst) <br>1 (cause to) break violently apart; open forcibly from within. <br>2 a (usu. Foll. By in, out) make one's way suddenly or by force. B break away from or through (river burst its banks). <br>3 be full to overflowing. <br>4 appear or come suddenly (burst into flame). <br>5 (foll. By into) suddenly begin to shed (tears) or utter. <br>6 seem about to burst from effort, excitement, etc. <br>—n. <br>1 act of bursting. <br>2 sudden issue or outbreak (burst of flame; burst of applause). <br>3 sudden effort, spurt.  burst out <br>1 suddenly begin (burst out laughing). <br>2 exclaim. [old english]
Cabin | n. <br>1 small shelter or house, esp. Of wood. <br>2 room or compartment in an aircraft or ship for passengers or crew. <br>3 driver's cab. [french from latin]
Cabinet | n. <br>1 a cupboard or case for storing or displaying things. B casing of a radio, television, etc. <br>2 (cabinet) committee of senior ministers in a government. [diminutive of *cabin]
Calculation | n. Act, process, or result of calculating. [latin: related to *calculus]
Canal | n. <br>1 artificial inland waterway. <br>2 tubular duct in a plant or animal. [latin canalis]
Usage | the form candelabra is, strictly speaking, the plural. However, candelabra (singular) and candelabras (plural) are often found in informal use.
Candle | n. Cylinder or block of wax or tallow with a central wick which gives light when burning.  cannot hold a candle to is much inferior to. Not worth the candle not justifying cost or trouble. [latin candela]
Canvas | <br>—n. <br>1 strong coarse cloth used for sails and tents etc. And for oil-painting. <br>2 a painting on canvas, esp. In oils. <br>—v. (-ss-; us -s-) cover with canvas.  under canvas <br>1 in tents. <br>2 with sails spread. [latin: related to *cannabis]
Capability | n. (pl. -ies) <br>1 ability, power. <br>2 undeveloped or unused faculty.
Capitalism | n. Economic and political system dependent on private capital and profit-making.
Capitalist | <br>—n. <br>1 person investing or possessing capital. <br>2 advocate of capitalism. <br>—adj. Of or favouring capitalism.  capitalistic adj.
Usage | this tax was replaced in <br>1986 by inheritance tax.
Carbon | n. <br>1 non-metallic element occurring naturally as diamond, graphite, and charcoal, and in all organic compounds. <br>2 a = *carbon copy. B = *carbon paper. <br>3 rod of carbon in an arc lamp. [latin carbo charcoal]
Usage | sense <br>3 of careen is influenced by the verb career.
Cargo | n. (pl. -es or -s) goods carried on a ship or aircraft. [spanish: related to *charge]
Carriage | n. <br>1 railway passenger vehicle. <br>2 wheeled horse-drawn passenger vehicle. <br>3 a conveying of goods. B cost of this. <br>4 carrying part of a machine (e.g. A typewriter). <br>5 gun-carriage. <br>6 bearing, deportment. [french: related to *carry]
Carve | v. (-ving) <br>1 produce or shape by cutting. <br>2 a cut patterns etc. In. B (foll. By into) form a pattern etc. From (carved it into a bust). <br>3 (absol.) Cut (meat etc.) Into slices.  carve out <br>1 take from a larger whole. <br>2 establish (a career etc.) Purposefully. Carve up <br>1 subdivide. <br>2 drive aggressively into the path of (another vehicle). [old english]
Casino | n. (pl. -s) public room or building for gambling. [italian diminutive of casa house]
Casual | <br>—adj. <br>1 accidental; chance. <br>2 not regular or permanent (casual work). <br>3 a unconcerned. B careless; unthinking. <br>4 (of clothes) informal. <br>—n. <br>1 casual worker. <br>2 (usu. In pl.) Casual clothes or shoes.  casually adv. Casualness n. [french and latin: related to *case1]
Casualty | n. (pl. -ies) <br>1 person killed or injured in a war or accident. <br>2 thing lost or destroyed. <br>3 = *casualty department. <br>4 accident, mishap. [medieval latin: related to *casual]
Catalogue | (us catalog) <br>—n. <br>1 complete alphabetical or otherwise ordered list of items, often with a description of each. <br>2 extensive list (catalogue of disasters). <br>—v. (-logues, -logued, -loguing; us -logs, -loged, -loging) <br>1 make a catalogue of. <br>2 enter in a catalogue. [greek lego choose]
Cater | v. <br>1 supply food. <br>2 (foll. By for) provide what is needed or desired (caters for all tastes). <br>3 (foll. By to) pander to (esp. Low tastes). [anglo-french acatour buyer, from latin capto: related to *catch]
Cattle | n.pl. Large ruminant animals with horns and cloven hoofs, esp. Bred for milk or meat. [anglo-french catel: related to *capital]
Caution | <br>—n. <br>1 attention to safety; prudence, carefulness. <br>2 a law warning, esp. A formal one. B warning and reprimand. <br>3 colloq. Amusing or surprising person or thing. <br>—v. <br>1 warn or admonish. <br>2 issue a caution to. [latin caveo take heed]
Cautious | adj. Having or showing caution.  cautiously adv. Cautiousness n.
Cave | <br>—n. Large hollow in the side of a cliff, hill, etc., or underground. <br>—v. (-ving) explore caves.  cave in <br>1 (cause to) subside or collapse. <br>2 yield, give up. [latin cavus hollow]
Cease | formal <br>—v. (-sing) stop; bring or come to an end. <br>—n. (in without cease) unending. [latin cesso]
Usage | see note at centigrade.
Cemetery | n. (pl. -ies) burial ground, esp. One not in a churchyard. [greek koimao put to sleep]
Usage | as a verb, censor is often confused with censure.
Usage | as a verb, censure is often confused with censor.
Usage | in sense 1, celsius is usually preferred in technical contexts.
Usage | the use of the verb in sense <br>1 with round is common and used by good writers, but is still considered incorrect by some people.
Usage | strictly speaking, since the first century ran from the year <br>1 to 100, the first year of a given century should be that ending in 01. However, in popular use this has been moved back a year, and so the twenty-first century will commonly be regarded as running from 2000–2099.
Certainty | n. (pl. -ies) <br>1 a undoubted fact. B indubitable prospect. <br>2 absolute conviction. <br>3 reliable thing or person.
Certificate | <br>—n. Formal document attesting a fact, esp. Birth, marriage, or death, a medical condition, or a qualification. <br>—v. (-ting) (esp. As certificated adj.) Provide with, license, or attest by a certificate.  certification n. [latin: related to *certify]
Usage | this examination was replaced in <br>1988 by the general certificate of secondary education (gcse).
Chamber | n. <br>1 a hall used by a legislative or judicial body. B body that meets in it, esp. Any of the houses of a parliament. <br>2 (in pl.) A rooms used by a barrister or barristers, esp. In inns of court. B judge's room for hearing cases not needing to be taken in court. <br>3 archaic room, esp. A bedroom. <br>4 mus. (attrib.) Of or for a small group of instruments. <br>5 cavity or compartment in the body, machinery, etc. (esp. The part of a gun-bore that contains the charge). [greek kamara vault]
Usage | the use of this word in sense 1b is, strictly speaking, incorrect.
Championship | n. <br>1 (often in pl.) Contest to decide the champion in a sport etc. <br>2 position of champion.
Chaos | n. <br>1 utter confusion. <br>2 formless matter supposed to have existed before the creation of the universe.  chaotic adj. Chaotically adv. [latin from greek]
Characterize | v. (also -ise) (-zing or -sing) <br>1 a describe the character of. B (foll. By as) describe as. <br>2 be characteristic of. <br>3 impart character to.  characterization n.
Charm | <br>—n. <br>1 power or quality of delighting, arousing admiration, or influencing; fascination, attractiveness. <br>2 trinket on a bracelet etc. <br>3 object, act, or word(s) supposedly having magic power. <br>—v. <br>1 delight, captivate. <br>2 influence or protect as if by magic (a charmed life). <br>3 obtain or gain by charm (charmed his way into the bbc).  charmer n. [latin carmen song]
Charming | adj. Delightful.  charmingly adv.
Charter | <br>—n. <br>1 a document granting rights, issued esp. By a sovereign or legislature. B written constitution or description of an organization's functions etc. <br>2 contract to hire an aircraft, ship, etc., for a special purpose. <br>—v. <br>1 grant a charter to. <br>2 hire (an aircraft, ship, etc.). [latin chartula: related to *chart]
Cheek | <br>—n. <br>1 a side of the face below the eye. B side-wall of the mouth. <br>2 a impertinence; cool confidence. B impertinent speech. <br>3 slang buttock. <br>—v. Be impertinent to.  cheek by jowl close together; intimate. [old english]
Cheer | <br>—n. <br>1 shout of encouragement or applause. <br>2 mood, disposition (full of good cheer). <br>3 (in pl.; as int.) Colloq. A expressing good wishes on parting or before drinking. B expressing gratitude. <br>—v. <br>1 a applaud with shouts. B (usu. Foll. By on) urge with shouts. <br>2 shout for joy. <br>3 gladden; comfort.  cheer up make or become less depressed. [latin cara face, from greek]
